theater_name,movie_title,zipcode,theater_location,show_url,show_timing,movie_date,auditorium_no,reserved_seating,no_of_seat,ticket_price,movie_duration,no_of_seat,total,reserved,checkered,available
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021474&tid=AADCG&sdate=2020-09-15+14:15&mid=223123&from=mov_det_showtimes,2:15p,"Tuesday, Sep 15 at 2:15 PM",Auditorium 7,Reserved seating,"1
Adult tickets",$5.93,"PG-13, 1 Hr 48 Min","1
Adult tickets",146,0,0,146
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021416&tid=AADCG&sdate=2020-09-15+15:15&mid=223123&from=mov_det_showtimes,3:15p,"Tuesday, Sep 15 at 3:15 PM",Auditorium 4,Reserved seating,"1
Adult tickets",$5.93,"PG-13, 1 Hr 48 Min","1
Adult tickets",268,0,0,268
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021440&tid=AADCG&sdate=2020-09-15+16:15&mid=223123&from=mov_det_showtimes,4:15p,"Tuesday, Sep 15 at 4:15 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$8.09,"PG-13, 1 Hr 48 Min","1
Adult tickets",0,0,0,0
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021627&tid=AADCG&sdate=2020-09-15+17:15&mid=223123&from=mov_det_showtimes,5:15p,"Tuesday, Sep 15 at 5:15 PM",Auditorium 16,Reserved seating,"1
Adult tickets",$8.09,"PG-13, 1 Hr 48 Min","1
Adult tickets",181,0,0,181
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021415&tid=AADCG&sdate=2020-09-15+18:30&mid=223123&from=mov_det_showtimes,6:30p,"Tuesday, Sep 15 at 6:30 PM",Auditorium 4,Reserved seating,"1
Adult tickets",$8.09,"PG-13, 1 Hr 48 Min","1
Adult tickets",268,0,0,268
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021441&tid=AADCG&sdate=2020-09-15+19:30&mid=223123&from=mov_det_showtimes,7:30p,"Tuesday, Sep 15 at 7:30 PM",Auditorium 6,Reserved seating,"1
Adult tickets",$8.09,"PG-13, 1 Hr 48 Min","1
Adult tickets",245,0,0,245
AMC North Dekalb 16,The Broken Hearts Gallery,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021628&tid=AADCG&sdate=2020-09-15+20:30&mid=223123&from=mov_det_showtimes,8:30p,"Tuesday, Sep 15 at 8:30 PM",Auditorium 16,Reserved seating,"1
Adult tickets",$8.09,"PG-13, 1 Hr 48 Min","1
Adult tickets",181,0,0,181
AMC North Dekalb 16,My Brothers' Crossing,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021553&tid=AADCG&sdate=2020-09-15+14:25&mid=223115&from=mov_det_showtimes,2:25p,"Tuesday, Sep 15 at 2:25 PM",Auditorium 12,Reserved seating,"1
Adult tickets",$5.93,1 Hr 38 Min,"1
Adult tickets",137,0,0,137
AMC North Dekalb 16,Tenet,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021384&tid=AADCG&sdate=2020-09-15+14:00&mid=219762&from=mov_det_showtimes,2:00p,"Tuesday, Sep 15 at 2:00 PM",Auditorium 2,Reserved seating,"1
Adult tickets",$5.93,"PG-13, 2 Hr 30 Min","1
Adult tickets",146,0,0,146
AMC North Dekalb 16,Tenet,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021507&tid=AADCG&sdate=2020-09-15+14:30&mid=219762&from=mov_det_showtimes,2:30p,"Tuesday, Sep 15 at 2:30 PM",Auditorium 9,Reserved seating,"1
Adult tickets",$5.93,"PG-13, 2 Hr 30 Min","1
Adult tickets",146,0,0,146
AMC North Dekalb 16,Tenet,30033,"2050 Lawrenceville Hwy.
Decatur, GA 30033",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=319021582&tid=AADCG&sdate=2020-09-15+15:00&mid=219762&from=mov_det_showtimes,3:00p,"Tuesday, Sep 15 at 3:00 PM",Auditorium 13,Reserved seating,"1
Adult tickets",$5.93,"PG-13, 2 Hr 30 Min","1
Adult tickets",298,2,0,296
